shipment_id,supplier,region,category,planned_lead_time_days,distance_km,order_value_usd,is_peak_season,was_delayed,delay_days
1,SupplierC,North America,Furniture,20,4679,30482,0,0,0
2,SupplierD,Asia,Electronics,23,2182,34117,1,1,5
3,SupplierA,Asia,Electronics,8,6126,25164,1,1,17
4,SupplierC,North America,Furniture,22,7924,33910,0,0,0
5,SupplierC,Asia,Furniture,6,1433,34496,1,1,6
6,SupplierD,North America,Electronics,5,4098,46311,0,0,0
7,SupplierA,Europe,Furniture,19,11925,31371,0,0,0
8,SupplierA,Asia,Electronics,9,2480,40467,0,1,2
9,SupplierC,Europe,Furniture,24,10547,19625,1,1,20
10,SupplierB,North America,Textiles,15,3556,35893,0,0,0
11,SupplierC,Europe,Textiles,14,9484,12793,0,1,18
12,SupplierC,Europe,Textiles,6,1291,33007,0,0,0
13,SupplierC,North America,Textiles,7,10501,27766,1,1,3
14,SupplierC,Europe,Textiles,27,5890,41532,1,1,9
15,SupplierD,Europe,Electronics,27,7135,14323,1,0,0
16,SupplierA,North America,Textiles,16,2755,47799,0,0,0
17,SupplierD,Europe,Textiles,24,4110,48820,0,1,7
18,SupplierD,North America,Textiles,9,2107,47408,0,0,0
19,SupplierD,Europe,Textiles,9,5679,9843,0,1,16
20,SupplierC,North America,Furniture,10,7073,16210,0,0,0
21,SupplierB,North America,Electronics,13,1484,18456,0,0,0
22,SupplierA,Europe,Textiles,6,6276,33367,1,1,3
23,SupplierB,Europe,Textiles,25,4176,12106,1,1,10
24,SupplierD,Europe,Textiles,16,3880,39957,1,0,0
25,SupplierD,Asia,Electronics,7,9211,4472,1,1,14
26,SupplierB,Asia,Furniture,24,9282,8704,0,0,0
27,SupplierB,Asia,Electronics,26,1550,5713,0,0,0
28,SupplierB,North America,Furniture,16,4133,7051,1,0,0
29,SupplierD,Europe,Textiles,28,6842,12756,0,0,0
30,SupplierD,North America,Textiles,21,1459,4475,1,0,0
31,SupplierA,Asia,Electronics,14,6559,38378,0,1,13
32,SupplierA,Europe,Electronics,28,9384,6255,0,0,0
33,SupplierD,North America,Furniture,18,6155,16484,0,0,0
34,SupplierB,Europe,Furniture,27,4973,36503,1,1,14
35,SupplierB,North America,Electronics,21,3446,10258,1,0,0
36,SupplierA,Europe,Furniture,22,8225,42747,0,1,18
37,SupplierD,Asia,Electronics,23,1026,37196,1,0,0
38,SupplierA,Asia,Furniture,21,3724,47113,0,0,0
39,SupplierA,Europe,Electronics,18,10945,42194,0,1,5
40,SupplierC,North America,Electronics,13,2375,10533,0,0,0
41,SupplierC,Asia,Electronics,12,2263,34581,0,0,0
42,SupplierC,Asia,Furniture,6,9212,7249,0,1,18
43,SupplierB,Asia,Furniture,17,6297,21201,1,0,0
44,SupplierD,Europe,Furniture,29,9708,11686,1,0,0
45,SupplierD,Europe,Electronics,11,7599,48877,0,0,0
46,SupplierD,North America,Furniture,13,5609,34007,0,1,9
47,SupplierD,North America,Furniture,26,7144,2661,1,0,0
48,SupplierC,North America,Electronics,26,616,46843,1,0,0
49,SupplierB,Europe,Textiles,15,2933,32137,1,1,15
50,SupplierB,Europe,Electronics,18,5963,49556,0,0,0
51,SupplierC,North America,Furniture,8,1083,44828,0,0,0
52,SupplierB,North America,Electronics,17,9086,12526,0,0,0
53,SupplierC,Europe,Textiles,6,4288,5374,0,0,0
54,SupplierD,North America,Electronics,27,11460,27592,0,0,0
55,SupplierC,Asia,Furniture,9,4667,30982,1,0,0
56,SupplierD,Europe,Textiles,15,8965,2207,0,0,0
57,SupplierD,North America,Furniture,10,10705,37433,0,0,0
58,SupplierA,Europe,Textiles,22,1889,25197,0,0,0
59,SupplierC,Asia,Textiles,25,8857,35400,0,0,0
60,SupplierA,Europe,Electronics,14,10259,5083,0,0,0
61,SupplierC,Europe,Electronics,8,6654,31328,0,0,0
62,SupplierC,Europe,Furniture,13,5920,48479,0,0,0
63,SupplierA,Europe,Electronics,10,9420,44891,1,0,0
64,SupplierA,Asia,Electronics,6,2543,22103,1,1,17
65,SupplierC,Europe,Textiles,21,4697,41891,0,0,0
